text_clean	user.screen_name	unique_id	text_clean_english	text_clean_emojistranslated
Crisanti, senza dati a disposizione, io non farei il primo vaccino che dovesse arrivare a gennaio. Perché vorrei essere sicuro che questo vaccino sia stato opportunamente testato e che soddisfi tutti i criteri di sicurezza ed efficacia. Lha detto, 😧 	stefmat1824	K_218	Crisanti, without available data, I would not make the first vaccine that should arrive in January. Because I would like to be sure that this vaccine has been properly tested and that it meets all the safety and efficacy criteria. He said it, 😧	Crisanti, without available data, I would not make the first vaccine that should arrive in January. Because I would like to be sure that this vaccine has been properly tested and that it meets all the safety and efficacy criteria. He said it, :anguished_face:
Mia madre, ha preso il covid già da una settimana, fortunatamente sintomi lievi ci siamo isolati tutti e lei ancora di più, nessuno di noi lo ha preso lei afferma, sono stata peggio dopo le somministrazioni di tutte e tre le dosi di vaccino	mariagrosso	CC_51	My mother had already caught the covid for a week, fortunately with mild symptoms we all isolated ourselves and she even more, none of us caught it she says, I was worse after the administration of all three doses of the vaccine	My mother had already caught the covid for a week, fortunately with mild symptoms we all isolated ourselves and she even more, none of us caught it she says, I was worse after the administration of all three doses of the vaccine
Giornale di Sicilia: Palermo, stop al commissario Covid: smantellato l’hub dei vaccini alla Fiera. 	MicheleFesta85	II_110	Giornale di Sicilia: Palermo, stop for the Covid commissioner: the vaccine hub at the Fair dismantled.	Giornale di Sicilia: Palermo, stop for the Covid commissioner: the vaccine hub at the Fair dismantled.
C'è una pandemia e il governo si permette di fare lo schizzinoso sul vaccino Sputnik solo perché è Russo. 🙃	noitre32	P_466	There is a pandemic and the government allows itself to be picky about the Sputnik vaccine just because it is Russian. 🙃	There is a pandemic and the government allows itself to be picky about the Sputnik vaccine just because it is Russian. :upside-down_face:
Vaccini: al via nel Lazio quarta dose a fragili, prima in Italia. La somministrazione è partita a Rieti e Frosinone #ANSA 	AnsaRomaLazio	Z_167	Vaccines: fourth dose to fragile at the start in Lazio, first in Italy. The administration started in Rieti and Frosinone #ANSA	Vaccines: fourth dose to fragile at the start in Lazio, first in Italy. The administration started in Rieti and Frosinone #ANSA
Intanto i vaccinati potranno festeggiare #capodanno nelle #discoteche con gli amici. Grazie ai #vaccini è tornato tutto alla normalità... seh come no! Che brutta favola quella che raccontano il #governo e i #giornalisti. #italia #draghistan #megagreenpass #greenpass	Alefior87	W_241	Meanwhile the vaccinated will be able to celebrate #New Year's Eve in #discos with friends. Thanks to the #vaccines everything is back to normal... yeah right! What a bad story the #government and #journalists tell. #italy #draghistan #megagreenpass #greenpass	Meanwhile the vaccinated will be able to celebrate #New Year's Eve in #discos with friends. Thanks to the #vaccines everything is back to normal... yeah right! What a bad story the #government and #journalists tell. #italy #draghistan #megagreenpass #greenpass
Cambierà il piano vaccinale. Vaccinazioni di massa entro Maggio 	ForestaliNews	Q_77	The vaccination plan will change. Mass vaccinations by May	The vaccination plan will change. Mass vaccinations by May
Silvio Garattini: “Troppi morti per lasciar circolare Omicron, proteggiamoci in attesa del nuovo vaccino” 	mattinodipadova	EE_309	"Silvio Garattini: ""Too many deaths to let Omicron circulate, let's protect ourselves while waiting for the new vaccine"""	"Silvio Garattini: ""Too many deaths to let Omicron circulate, let's protect ourselves while waiting for the new vaccine"""
Ma Gloria è grande e vaccinate eh!   #uominiedonne 	1bluemi	HH_400	But Gloria is big and vaccinated eh! #men and women	But Gloria is big and vaccinated eh! #men and women
Coronavirus: Martella, 'la buona informazione è il primo vaccino'  #notizie #sapevatelo	notizieit	B_297	Coronavirus: Martella, 'good information is the first vaccine' #news #sapevatelo	Coronavirus: Martella, 'good information is the first vaccine' #news #sapevatelo
E io che pensavo che in #Ucraina col 37% di vaccinati, fossero tutti morti...	JulesDalBon	AA_127	And I thought that in #Ukraine with 37% of vaccinated, they were all dead...	And I thought that in #Ukraine with 37% of vaccinated, they were all dead...
Vaccini anti Covid-19 anche per i cittadini settantenni  #vaccino #vaccini #Sicilia #Sicily #vaccinazione #vaccination #vaccine #vaccinated #SARSCoV2 #SARS_CoV_2 #coronavirus #Covid_19 #COVIDー19 #COVID #COVID19Vaccine #CovidVaccine #Italia  #Italy	EmmeReports	O_475	Anti Covid-19 vaccines also for seventy-year-old citizens	Anti Covid-19 vaccines also for seventy-year-old citizens
Scusate la domanda da bionda.  Avete visto i video con la simulazione della diffusione del contagio (luoghi aperti e chiusi)?  Se sì, indipendentemente dalle linee guida, lo capite da soli che molte cose non si potranno fare o avete intenzione di far polemiche fino al vaccino?	swamilee	E_388	Sorry for the blonde question. Have you seen the videos with the simulation of the spread of the contagion (open and closed places)? If yes, regardless of the guidelines, do you understand for yourself that many things cannot be done or do you intend to cause controversy until the vaccine?	Sorry for the blonde question. Have you seen the videos with the simulation of the spread of the contagion (open and closed places)? If yes, regardless of the guidelines, do you understand for yourself that many things cannot be done or do you intend to cause controversy until the vaccine?
Uno scenario che già si è avverato e può solo gonfiarsi è quello di cittadini ed emigrati della stessa regione, uno contro l' Sardegna abbiamo già sardi contro altri emigrati sardi che vogliono tornare in vacanza.Per l'odio sociale non c'è vaccino a breve	core2design	E_464	A scenario that has already come true and can only inflate is that of citizens and emigrants from the same region, one against Sardinia we already have Sardinians against other Sardinian emigrants who want to go back on holiday. There is no vaccine for social hatred short	A scenario that has already come true and can only inflate is that of citizens and emigrants from the same region, one against Sardinia we already have Sardinians against other Sardinian emigrants who want to go back on holiday. There is no vaccine for social hatred short
 perche Speranza è vaccinato? i politici sono vaccinati tranne qualcuno? armiamoci e ... andate e trovano milioni di strunz che.... vanno	5Ricomincio	CC_6	why is Speranza vaccinated? are politicians vaccinated except for someone? let's arm ourselves and ... go and find millions of strunz that .... go	why is Speranza vaccinated? are politicians vaccinated except for someone? let's arm ourselves and ... go and find millions of strunz that .... go
Covid19, crollano i contagi e le vaccinazioni a Siracusa 	telodogratis	AA_317	Covid19, infections and vaccinations collapse in Syracuse	Covid19, infections and vaccinations collapse in Syracuse
"New Tumblr post: ""CANADA: PRIMO CASO DI RISARCIMENTO :"" DANNO DA VACCINO"""" -   IFTTT,"	cnitalia1	DD_497	"New Tumblr post: ""CANADA: FIRST COMPENSATION CASE :""VACCINE DAMAGE"""" - IFTTT,"	"New Tumblr post: ""CANADA: FIRST COMPENSATION CASE :""VACCINE DAMAGE"""" - IFTTT,"
"Obama: ""Nonostante il fatto che ora abbiamo essenzialmente testato, clinicamente, il vaccino su miliardi di persone nel mondo; circa 1 americano su 5 si metterà ancora a rischio... piuttosto che farsi vaccinare"". 🤡🤡💩💩💩 "	Peter20371	BB_41	"Obama: ""Despite the fact that we have now essentially, clinically tested, the vaccine on billions of people around the world; approximately 1 in 5 Americans will still put themselves at risk... rather than get vaccinated."" 🤡🤡💩💩💩"	"Obama: ""Despite the fact that we have now essentially, clinically tested, the vaccine on billions of people around the world; approximately 1 in 5 Americans will still put themselves at risk... rather than get vaccinated."" :clown_face::clown_face::pile_of_poo::pile_of_poo::pile_of_poo:"
Delusi perchè speravano in più morti a Natale, sto osservando un cospicuo rigurgito di NoVax/NoGP che scassano la minchia con il loro “memento mori” o cercano di vendere intrugli purificanti dal grafene. Dato che mi infastidiscono, li blocco al volo. Sono una brutta persona	JackRya27121132	II_291	"Disappointed because they hoped for more deaths at Christmas, I'm observing a conspicuous regurgitation of NoVax / NoGP who break the fuck with their ""memento mori"" or try to sell graphene purifying concoctions. Since they annoy me, I block them on the fly. I'm a bad person"	"Disappointed because they hoped for more deaths at Christmas, I'm observing a conspicuous regurgitation of NoVax / NoGP who break the fuck with their ""memento mori"" or try to sell graphene purifying concoctions. Since they annoy me, I block them on the fly. I'm a bad person"
Dichiaro la resa. D’ora in avanti ai no mask, no vax, negazionisti del virus e complottisti assortiti risponderò semplicemente con un sonoro e accorato “MA VAFFANCULO!” #lamisuraécolma	reservoirdogs85	I_300	"I declare surrender. From now on to the no mask, no vax, virus deniers and assorted conspiracy theorists I will simply respond with a loud and heartfelt ""FUCK YOU!"" #themeasurement is full"	"I declare surrender. From now on to the no mask, no vax, virus deniers and assorted conspiracy theorists I will simply respond with a loud and heartfelt ""FUCK YOU!"" #themeasurement is full"
"Vaccino contro il Covid? ""Attenti alle scorciatoie"", avverte Crisanti "	sulsitodisimone	G_56	"Vaccine against Covid? ""Beware of shortcuts,"" warns Crisanti"	"Vaccine against Covid? ""Beware of shortcuts,"" warns Crisanti"
volete prendere il massimo di insulti oggi ? Allora ripetete con me: -la terra non è piatta -amo la figa -sono #Over50 -non mi vaccino per libera scelta -leggo #Dostoevskij -ho due lauree -DICO NO ALL’INVIO DI ARMI ALL #Ukraine -considero #Dimaio incapace e #Salvini un pirla	zevunderskin	AA_203	do you want to take the maximum of insults today? So repeat with me: - the earth is not flat - I love pussy - I'm #Over50 - I don't get vaccinated for free choice - I read #Dostoevsky - I have two degrees - I SAY NO TO SENDING WEAPONS ALL #Ukraine - I consider #Dimaio incapable and #Salvini an idiot	do you want to take the maximum of insults today? So repeat with me: - the earth is not flat - I love pussy - I'm #Over50 - I don't get vaccinated for free choice - I read #Dostoevsky - I have two degrees - I SAY NO TO SENDING WEAPONS ALL #Ukraine - I consider #Dimaio incapable and #Salvini an idiot
"Rasi su Skytg24: Troppo clamore mediatico su reazioni avverse Scelta di sospendere vaccinazioni basata su emotività  Novax che vogliono rallentare la campagna vaccinale Giusto scudo penale per medici ed aziende ..ah, dallo studio lo chiamavano ""professore""  #AstraZeneca"	tiecolino	O_219	"Rasi on Skytg24: Too much media hype about adverse reactions Choice to suspend vaccinations based on emotion Novax who want to slow down the vaccination campaign Right criminal shield for doctors and companies ..ah, from the studio they called him ""professor"" #AstraZeneca"	"Rasi on Skytg24: Too much media hype about adverse reactions Choice to suspend vaccinations based on emotion Novax who want to slow down the vaccination campaign Right criminal shield for doctors and companies ..ah, from the studio they called him ""professor"" #AstraZeneca"
"Usa, Biden: ""I politici non devono interferire con il vaccino""  #usa  "	MediasetTgcom24	I_58	"Usa, Biden: ""Politicians must not interfere with the vaccine"" #usa"	"Usa, Biden: ""Politicians must not interfere with the vaccine"" #usa"
Abbiamo dieci milioni di dosi di vaccino. Consiglierei- pur lasciando priorità per le prime dosi e per le terze dosi per i fragili - di partire SUBITO  con la terza dose per i sanitari. Infezioni anche lievi causerebbero quarantene che sguarnirebbero ospedali e ambulatorî.	RobertoBurioni	U_59	We have ten million doses of vaccine. I would recommend - while leaving priority for the first doses and third doses for the frail - to start NOW with the third dose for health care. Even minor infections would cause quarantines that would deprive hospitals and clinics.	We have ten million doses of vaccine. I would recommend - while leaving priority for the first doses and third doses for the frail - to start NOW with the third dose for health care. Even minor infections would cause quarantines that would deprive hospitals and clinics.
A Como si lamentano che le scritte dei #ViVi non vengono cancellate! Forse qualcuno, oltre ai V_V, ritiene abbiano una funzione sociale necessaria! #ilvaccinouccide  #iosononovax   👆👆👆👆👆👆👆👆👆  	martina_ever	Y_309	In Como they complain that the #ViVi writings are not deleted! Perhaps someone, in addition to V_V, believes they have a necessary social function! #ilvaccinokills #iosononovax 👆👆👆👆👆👆👆👆👆	In Como they complain that the #ViVi writings are not deleted! Perhaps someone, in addition to V_V, believes they have a necessary social function! #ilvaccinokills #iosononovax :backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up:
#Djokovic commenta la decisione dell'Australia di concedergli l'ingresso anche da non vaccinato grazie ad una esenzione medica.   #AustralianOpen 	FabioRussello	Y_391	#Djokovic comments on Australia's decision to grant him entry even as an unvaccinated thanks to a medical exemption. #AustralianOpen	#Djokovic comments on Australia's decision to grant him entry even as an unvaccinated thanks to a medical exemption. #AustralianOpen
Ho ancora la febbre (belli i vaccini di venerdì che ti caxziano il weekend), stasera abbiamo una prenotazione ad un ristorante fatta una settimana fa perché volevamo andarci tipo da mesi, ho deciso che ci andrò a costo di bere t4chipirina al posto del vino 	r4vi30	DD_464	I still have a fever (Friday's vaccines are nice, they kill you at the weekend), tonight we have a reservation at a restaurant made a week ago because we've been wanting to go there for months, I've decided that I'll go there at the cost of drinking t4chipirina instead of wine	I still have a fever (Friday's vaccines are nice, they kill you at the weekend), tonight we have a reservation at a restaurant made a week ago because we've been wanting to go there for months, I've decided that I'll go there at the cost of drinking t4chipirina instead of wine
Renzi insiste sul vaccino Serve una cura per ripartire subito, cazzo Non una cosa forse utile tra mesi   #NonelArena	tiecolino	C_331	Renzi insists on the vaccine We need a cure to start again damn soon Not something maybe useful in months #NonelArena	Renzi insists on the vaccine We need a cure to start again damn soon Not something maybe useful in months #NonelArena
Via libera ai vaccini anti COVID per bambini da 6 mesi a 5 anni. Dai un'occhiata al video di osintleaks! #TikTok 	datanalysis1	GG_18	Green light to COVID vaccines for children from 6 months to 5 years. Check out the osintleaks video! #TikTok	Green light to COVID vaccines for children from 6 months to 5 years. Check out the osintleaks video! #TikTok
Delusa, avvilita, amareggiata, stufa, incazzata....non andrò mai più a votare! Questa teppaglia non merita più nemmeno un attimo del mio tempo  #NoGreenPassObbligatorio #novax	chlarav	U_150	Disappointed, dejected, embittered, fed up, pissed off....I'll never go to vote again! This thug doesn't deserve even a moment of my time anymore #NoGreenPassObligatorio #novax	Disappointed, dejected, embittered, fed up, pissed off....I'll never go to vote again! This thug doesn't deserve even a moment of my time anymore #NoGreenPassObligatorio #novax
«I vaccini sono pericolosi»: così la giudice di Firenze reintegra al lavoro la psicologa no vax 	Corriere	EE_180	Vaccines are dangerous: thus the judge of Florence reinstates the no-vax psychologist to work	Vaccines are dangerous: thus the judge of Florence reinstates the no-vax psychologist to work
L'efficacia del vaccino è così alta che si possono presentare subito le carte per l'autorizzazione  Pier Luigi Lopalco #Staseraitalia 	StaseraItalia	K_148	The effectiveness of the vaccine is so high that the authorization papers can be presented immediately Pier Luigi Lopalco #Staseraitalia	The effectiveness of the vaccine is so high that the authorization papers can be presented immediately Pier Luigi Lopalco #Staseraitalia
Secondo voi, il ripugnante #Draghi quanto ci farà’ col business vaccini? Quanti zeri? 	NSegreta	V_467	In your opinion, how much will the repulsive #Dragons do with the vaccine business? How many zeros?	In your opinion, how much will the repulsive #Dragons do with the vaccine business? How many zeros?
Un Italiano su 2 non vuole fare il vaccino, perché é convinto che non serve a nulla, lo dicono illustri prof. come Montanari, Tarro, Bacco ecc. 	Euseb53	F_332	One Italian out of 2 does not want to get the vaccine, because he is convinced that it is useless, illustrious professors say. such as Montanari, Tarro, Bacchus etc.	One Italian out of 2 does not want to get the vaccine, because he is convinced that it is useless, illustrious professors say. such as Montanari, Tarro, Bacchus etc.
"Marco Rizzo-PC:  Speranza ha fatto un esperimento di controllo sociale con i vaccini, e contro ...""  22"	TommyBrain	II_167	"Marco Rizzo-PC: Speranza made an experiment of social control with vaccines, and against ..."" 22"	"Marco Rizzo-PC: Speranza made an experiment of social control with vaccines, and against ..."" 22"
DIARIO USA/ Biden, Trump, vax e no, Nba, Cnn: buon Natale a noi, poveri e fragili 	KattInForma	W_60	USA DIARY/ Biden, Trump, vax and no, Nba, Cnn: Merry Christmas to us, poor and fragile	USA DIARY/ Biden, Trump, vax and no, Nba, Cnn: Merry Christmas to us, poor and fragile
Il #coronavirus non è pericoloso, il #vaccino sì: la verità di un bestseller tedesco che sconvolge i piani per sconfiggere il Covid  	GiancarloDeRisi	I_131	The #coronavirus is not dangerous, the #vaccine is: the truth of a German bestseller that upsets plans to defeat Covid	The #coronavirus is not dangerous, the #vaccine is: the truth of a German bestseller that upsets plans to defeat Covid
Coronavirus latest: China vaccine 78% effective in Brazil trial - Nikkei Asia 	ChinaFansclub	M_188	Coronavirus latest: China vaccine 78% effective in Brazil trial - Nikkei Asia	Coronavirus latest: China vaccine 78% effective in Brazil trial - Nikkei Asia
Ricominciano. Boicottaggio su tutta la linea! 	PortoFedora	CC_378	They start again. Boycott across the board!	They start again. Boycott across the board!
Sto provando a prenotare su regione Lazio il vaccino ma è un Fake ... ho clikkato su 3 date diverse 10/16/21 aprile su tre siti diversi da Roma 1 fino a Roma 3 e mi dice che c è già una prenotazione in atto 😳😳😳. La disponibilità la dà il software non la scelgo io	alessan47586283	P_178	I'm trying to book the vaccine on the Lazio region but it's a Fake ... I clicked on 3 different dates 10/16/21 April on three different sites from Rome 1 to Rome 3 and it tells me that there is already a reservation in progress 😳😳😳. The software gives me availability, I don't choose it	I'm trying to book the vaccine on the Lazio region but it's a Fake ... I clicked on 3 different dates 10/16/21 April on three different sites from Rome 1 to Rome 3 and it tells me that there is already a reservation in progress :flushed_face::flushed_face::flushed_face:. The software gives me availability, I don't choose it
Secondo me stanno già producendo un vaccino a forma di supposta	BrugolaDigitAle	N_220	In my opinion they are already producing a vaccine in the form of a suppository	In my opinion they are already producing a vaccine in the form of a suppository
Vaccini. Gimbe: “Il governo non ha un piano per l’inverno” 	news_mondo_h24	FF_192	"Vaccines. Gimbe: ""The government does not have a plan for the winter"""	"Vaccines. Gimbe: ""The government does not have a plan for the winter"""
Vaccino italiano, funzionano anticorpi CLICCA PER LEGGERE 	Lasiciliaweb	E_301	Italian vaccine, antibodies work CLICK TO READ	Italian vaccine, antibodies work CLICK TO READ
"Il vaccino c'è: è la globalizzazione  Cerasa, un genio prestato al ""giornalismo"" "	OlimpiaOlimpo	A_409	"There is a vaccine: it is globalization Cerasa, a genius lent to ""journalism"""	"There is a vaccine: it is globalization Cerasa, a genius lent to ""journalism"""
Gran parte degli italiani in giallo, assapora uno scampolo di normalità. Non Basilicata, Calabria, Puglia, Sicilia, Sardegna e Valle d'Aosta per una settimana ancora. Qualcuno delle Regioni e Comuni vuole fare mea culpa? Errori/malaffare sui vaccini, no controlli su popolazione	AlessLongo	P_133	Most of the Italians in yellow, savor a remnant of normality. Not Basilicata, Calabria, Puglia, Sicily, Sardinia and Valle d'Aosta for one more week. Does anyone from the Regions and Municipalities want to do mea culpa? Vaccine errors / malfeasance, no population controls	Most of the Italians in yellow, savor a remnant of normality. Not Basilicata, Calabria, Puglia, Sicily, Sardinia and Valle d'Aosta for one more week. Does anyone from the Regions and Municipalities want to do mea culpa? Vaccine errors / malfeasance, no population controls
Coronavirus Roma, al via allo Spallanzani la sperimentazione del vaccino sull'uomo  	ItaliaNEWS	H_324	Coronavirus Rome, the experimentation of the vaccine on humans is underway at Spallanzani	Coronavirus Rome, the experimentation of the vaccine on humans is underway at Spallanzani
STUDIO BATTAGLIA: DAL 15 MARZO LE AVVOCATE DI RAI1 TRA DIVORZI, VACCINI E ADOZIONI 	bubinoblog	AA_399	STUDIO BATTAGLIA: RAI1 LAWYERS BETWEEN DIVORCES, VACCINES AND ADOPTIONS FROM MARCH 15TH	STUDIO BATTAGLIA: RAI1 LAWYERS BETWEEN DIVORCES, VACCINES AND ADOPTIONS FROM MARCH 15TH
Breve storia triste di un incontro con un amico che non vedi da anni. Io: Ciao come va? Lui: bene, ma lo hai fatto il vaccino? Io: No e nemmeno lo farò. Lui: ma che sei un coglione negazionista? Io: Ciao! ..... 😡	StefanoDiFran11	R_355	Short sad story about meeting a friend you haven't seen for years. Me: Hi how are you? Him: fine, but did you get the vaccine? Me: No and I won't either. Him: what are you a denialist asshole? Me: Hello! ..... 😡	Short sad story about meeting a friend you haven't seen for years. Me: Hi how are you? Him: fine, but did you get the vaccine? Me: No and I won't either. Him: what are you a denialist asshole? Me: Hello! ..... :pouting_face:
Il vaccino di AstraZeneca utilizza un adenovirus di scimmia che condivide un gene con il coronavirus Covid-19. A differenza del colpo di AstraZeneca, lo Sputnik V russo, il primo vaccino registrato al mondo, utilizza gli adenovirus umani come vettore, un approccio ampiamente.....	cinzia_palmacci	I_460	AstraZeneca's vaccine uses a monkey adenovirus that shares a gene with the Covid-19 coronavirus. Unlike AstraZeneca's coup, Russia's Sputnik V, the world's first registered vaccine, uses human adenoviruses as a vector, an approach widely…	AstraZeneca's vaccine uses a monkey adenovirus that shares a gene with the Covid-19 coronavirus. Unlike AstraZeneca's coup, Russia's Sputnik V, the world's first registered vaccine, uses human adenoviruses as a vector, an approach widely…
Podríamos tomarnos el día de trabajo lxs que tenemos la vacuna rusa ya que el mundo nos odia?	LuCocomiel	Z_314	Could we take the day off work who have the Russian vaccine since the world hates us?	Could we take the day off work who have the Russian vaccine since the world hates us?
Fate parlare di più la Lorenzin 🐐 e anche Fauci ti diventa no-vax   #Piazzapulita	rramanz	X_24	Make Lorenzin talk more 🐐 and even Fauci becomes no-vax #Piazzapulita	Make Lorenzin talk more :goat: and even Fauci becomes no-vax #Piazzapulita
Tornando alle cose serie. Questa è una carestia! Non esiste!  Sono in crisi! Ho voglia di tornare a limonare, oh! Quando lo trovate sto vaccino? Non so fino a che punto riusciró a trattenere il mio accappatoio. Qui c'è bisogno di figa #pandemia #CoronaVirusitaly	TheDarioLeo	C_31	Back to serious stuff. This is a famine! Does not exist! I'm in crisis! I want to go back to making out, oh! When do you find this vaccine? I don't know how far I will be able to hold on to my bathrobe. We need some pussy here #pandemic #CoronaVirusitaly	Back to serious stuff. This is a famine! Does not exist! I'm in crisis! I want to go back to making out, oh! When do you find this vaccine? I don't know how far I will be able to hold on to my bathrobe. We need some pussy here #pandemic #CoronaVirusitaly
"Una loro riduzione, fra le varie cause, può essere provocata come reazione dell’organismo all’assunzione di alcuni farmaci, quindi, nel caso attuale, nell’inoculazione di un vaccino.""  📚 Unisciti a STUDI SCIENTIFICI"	SoleInvitto	BB_223	"Their reduction, among the various causes, can be caused as a reaction of the body to the intake of some drugs, therefore, in the current case, in the inoculation of a vaccine."" 📚 Join SCIENTIFIC STUDIES"	"Their reduction, among the various causes, can be caused as a reaction of the body to the intake of some drugs, therefore, in the current case, in the inoculation of a vaccine."" :books: Join SCIENTIFIC STUDIES"
[4/n] Ya sea por infección, por vacunación (al menos por un tiempo) o por muerte, parte de la población no puede contagiar más. Mientras tanto, en el tiempo, vamos a seguir contabilizando muertes (triste, pero un hecho).	federicolois	H_57	[4/n] Either by infection, by vaccination (at least for a while) or by death, part of the population can no longer infect. Meanwhile, in time, we will continue to count deaths (sad, but a fact).	[4/n] Either by infection, by vaccination (at least for a while) or by death, part of the population can no longer infect. Meanwhile, in time, we will continue to count deaths (sad, but a fact).
Estoy cansada, pero creo que es por la vacuna	nixxiend	Z_3	I'm tired, but I think it's because of the vaccine	I'm tired, but I think it's because of the vaccine
Perché non mi sorprende la lentezza con la quale l'Italia sta affrontando i primi giorni di vaccinazione? #vaccination	MassimoRozzi	M_134	Why doesn't it surprise me how slowly Italy is tackling the first days of vaccination? #vaccination	Why doesn't it surprise me how slowly Italy is tackling the first days of vaccination? #vaccination
Camionisti no - vax fuori controllo: lOntario dichiara lo stato demergenza -  #Camionisti #fuori #controllo:  	zazoomblog	Z_126	Truckers no - vax out of control: Ontario declares state of emergency - #Truckers #out of #control:	Truckers no - vax out of control: Ontario declares state of emergency - #Truckers #out of #control:
i commenti che mi fanno più ridere sono quelli che dicono che esperti hanno detto che non bisogna farlo e nel momento in cui chiedi loro il nome non rispondono più e quelli che dicono: - ci vogliono ALMENO 3 anni per sviluppare un vaccino	blackh4ired	M_11	the comments that make me laugh the most are those who say that experts have said that it shouldn't be done and when you ask their name they no longer respond and those who say: - it takes AT LEAST 3 years to develop a vaccine	the comments that make me laugh the most are those who say that experts have said that it shouldn't be done and when you ask their name they no longer respond and those who say: - it takes AT LEAST 3 years to develop a vaccine
"Più che delle scorte di ""vaccini"" mi preoccuperei di più delle scorte di gas.  Ma giustamente se ordini più ""vaccini"", poi serve meno gas se i primi fanno il loro corso."	Leonard1306__	CC_82	"More than stocks of ""vaccines"" I would worry more about gas stocks. But rightly so if you order more ""vaccines"", then less gas is needed if the former run their course."	"More than stocks of ""vaccines"" I would worry more about gas stocks. But rightly so if you order more ""vaccines"", then less gas is needed if the former run their course."
Covid: Svizzera, 91/enne morto dopo vaccino, nessun nesso 	sardanews	L_129	Covid: Switzerland, 91 / year old died after vaccine, no connection	Covid: Switzerland, 91 / year old died after vaccine, no connection
Quarta dose ai fragili, avanti piano il primo giorno solo un vaccinato 	infoitinterno	AA_281	Fourth dose to the frail, slowly on the first day only one vaccinated	Fourth dose to the frail, slowly on the first day only one vaccinated
Studiare rende pavidi, ho amici ingegneri che dopo aver fatto calcoli precisi sovradimensionano e medici che consigliano vaccini a perfettamente sani. Noi #nocose invece siamo sicuri e coraggiosi.	Barillarisson	CC_465	Studying makes you fearful, I have engineer friends who, after making precise calculations, oversize and doctors who recommend vaccines to perfectly healthy people. We #nothings, on the other hand, are safe and courageous.	Studying makes you fearful, I have engineer friends who, after making precise calculations, oversize and doctors who recommend vaccines to perfectly healthy people. We #nothings, on the other hand, are safe and courageous.
Il complotto #Covid_19 dimostrato  Il Darwin Awards, il premio assegnato alle morti più stupide dell’anno, si è interrotto nel 2018. Qualcuno (ecco!) doveva aver preavvertito i giurati del prossimo arrivo del Covid e della successione di vittime no-vax convinte del complotto.	mrctrdsh	T_11	The #Covid_19 conspiracy demonstrated The Darwin Awards, the prize awarded to the most stupid deaths of the year, was interrupted in 2018. Someone (here!) must have warned the jurors of the imminent arrival of Covid and the succession of convinced no-vax victims of the conspiracy.	The #Covid_19 conspiracy demonstrated The Darwin Awards, the prize awarded to the most stupid deaths of the year, was interrupted in 2018. Someone (here!) must have warned the jurors of the imminent arrival of Covid and the succession of convinced no-vax victims of the conspiracy.
Moderna +16% on positive CMV vaccine data 	AggarwalTweets	A_340	Moderna +16% on positive CMV vaccine data	Moderna +16% on positive CMV vaccine data
al liceo di mio fratello hanno messo una uscita per i vaccinati e una per i non vaccinati, wtf ma è così ovunque o solo qua?	arvizzibruh	U_179	in my brother's high school they put an exit for the vaccinated and one for the unvaccinated, wtf is it like this everywhere or just here?	in my brother's high school they put an exit for the vaccinated and one for the unvaccinated, wtf is it like this everywhere or just here?
Covid Cina, al via somministrazione primo vaccino inalabile al mondo: (Adnkronos) - Dopo Shanghai anche altre città hanno dato il via libera  	fisco24_info	HH_231	Covid China, the first inhalable vaccine in the world is being administered: (Adnkronos) - After Shanghai, other cities have also given the green light	Covid China, the first inhalable vaccine in the world is being administered: (Adnkronos) - After Shanghai, other cities have also given the green light
Genocidio da #vaccino anti #COVID19 fase 3: terza dose è già arrivata la prima vittima !!!! #AstraZeneca #vaccini #NoGreenPass #NoGreenPassObbligatorio #Draghi #GovernoDraghi #Speranza 	DonatoPorreca	V_39	Genocide from #COVID19 #vaccine phase 3: third dose the first victim has already arrived!!!! #AstraZeneca #vaccini #NoGreenPass #NoGreenPassObligatorio #Draghi #GovernoDraghi #Hope	Genocide from #COVID19 #vaccine phase 3: third dose the first victim has already arrived!!!! #AstraZeneca #vaccini #NoGreenPass #NoGreenPassObligatorio #Draghi #GovernoDraghi #Hope
Covid: Mattarella lascia Spallanzani dopo seconda dose vaccino 	infoitinterno	P_397	Covid: Mattarella leaves Spallanzani after second vaccine dose	Covid: Mattarella leaves Spallanzani after second vaccine dose
Vaccino anti-Covid, a Parma prime dosi al Maggiore 	infoitinterno	L_388	Anti-Covid vaccine, first doses to the Major in Parma	Anti-Covid vaccine, first doses to the Major in Parma
“Giorno della Memoria” 27 gennaio 2022  Provo un pesante odio verso i no vax J-Ax, cantante	PacoLoc98342102	Y_332	Remembrance Day January 27, 2022 I feel a heavy hatred towards the no vax J-Ax, singer	Remembrance Day January 27, 2022 I feel a heavy hatred towards the no vax J-Ax, singer
